##name Persian
##ownname فارسی
##isocode fa_IR
##winlangid 0x0429
##grflangid 0x62
##plural 0
##textdir rtl
##digitsep ٬
##digitsepcur ٬

#

##id 0x0000
STR_ERROR_OFF_EDGE_OF_MAP                                       :{WHITE}خارج از نقشه
STR_VEHICLE_NAME_ROAD_PERRY_MAIL_TRUCK                          :کامیون حمل نامه Perry
STR_VEHICLE_NAME_ROAD_MIGHTYMOVER_MAIL_TRUCK                    :کامیون حمل نامه MightyMover
STR_VEHICLE_NAME_ROAD_POWERNAUGHT_MAIL_TRUCK                    :کامیون حمل نامه Powernaught
STR_VEHICLE_NAME_ROAD_WIZZOWOW_MAIL_TRUCK                       :کامیون حمل نامه Wizzowow
STR_VEHICLE_NAME_ROAD_WITCOMBE_OIL_TANKER                       :تانکر نفت Witcombe
STR_VEHICLE_NAME_ROAD_FOSTER_OIL_TANKER                         :تانکر نفت Foster
STR_VEHICLE_NAME_ROAD_PERRY_OIL_TANKER                          :تانکر نفت Perry
STR_VEHICLE_NAME_ROAD_TALBOTT_LIVESTOCK_VAN                     :واگن حمل فرآورده های حیوانی Talbott
STR_VEHICLE_NAME_ROAD_UHL_LIVESTOCK_VAN                         :واگن حمل فرآورده های حیوانی Uhl
STR_VEHICLE_NAME_ROAD_FOSTER_LIVESTOCK_VAN                      :واگن حمل فرآورده های حیوانی Foster
STR_VEHICLE_NAME_ROAD_BALOGH_GOODS_TRUCK                        :کامیون محصولات Balogh
STR_VEHICLE_NAME_ROAD_CRAIGHEAD_GOODS_TRUCK                     :کامیون محصولات Craighead
STR_VEHICLE_NAME_ROAD_GOSS_GOODS_TRUCK                          :کامیون محصولات Goss
STR_VEHICLE_NAME_ROAD_HEREFORD_GRAIN_TRUCK                      :کامیون حبوبات Hereford
STR_VEHICLE_NAME_ROAD_THOMAS_GRAIN_TRUCK                        :کامیون حبوبات Thomas
STR_VEHICLE_NAME_ROAD_GOSS_GRAIN_TRUCK                          :کامیون حبوبات Goss
STR_VEHICLE_NAME_ROAD_WITCOMBE_WOOD_TRUCK                       :کامیون حمل چوب Witcombe
STR_VEHICLE_NAME_ROAD_FOSTER_WOOD_TRUCK                         :کامیون حمل چوب Foster
STR_VEHICLE_NAME_ROAD_MORELAND_WOOD_TRUCK                       :کامیون حمل چوب Moreland
STR_VEHICLE_NAME_ROAD_MPS_IRON_ORE_TRUCK                        :کامیون  حمل سنگ آهن MPS
STR_VEHICLE_NAME_ROAD_UHL_IRON_ORE_TRUCK                        :کامیون  حمل سنگ آهن Uhl
STR_VEHICLE_NAME_ROAD_CHIPPY_IRON_ORE_TRUCK                     :کامیون  حمل سنگ آهن Chippy
STR_VEHICLE_NAME_ROAD_BALOGH_STEEL_TRUCK                        :کامیون حمل فولاد Balogh
STR_VEHICLE_NAME_ROAD_UHL_STEEL_TRUCK                           :کامیون حمل فولاد Uhl
STR_VEHICLE_NAME_ROAD_KELLING_STEEL_TRUCK                       :کامیون حمل فولاد Kelling
STR_VEHICLE_NAME_ROAD_BALOGH_ARMORED_TRUCK                      :کامیون محافظت شده Balogh
STR_VEHICLE_NAME_ROAD_UHL_ARMORED_TRUCK                         :کامیون محافظت شده Uhl
STR_VEHICLE_NAME_ROAD_FOSTER_ARMORED_TRUCK                      :کامیون محافظت شده Foster
STR_VEHICLE_NAME_ROAD_FOSTER_FOOD_VAN                           :واگن مواد غذایی Foster
STR_VEHICLE_NAME_ROAD_PERRY_FOOD_VAN                            :واگن مواد غذایی Perry
STR_VEHICLE_NAME_ROAD_CHIPPY_FOOD_VAN                           :واگن مواد غذایی Chippy
STR_VEHICLE_NAME_ROAD_UHL_PAPER_TRUCK                           :کامیون حمل کاغذ Uhl
STR_VEHICLE_NAME_ROAD_BALOGH_PAPER_TRUCK                        :کامیون حمل کاغذ Balogh
STR_VEHICLE_NAME_ROAD_MPS_PAPER_TRUCK                           :کامیون حمل کاغذ MPS
STR_VEHICLE_NAME_ROAD_MPS_COPPER_ORE_TRUCK                      :کامیون حمل سنگ مس MPS
STR_VEHICLE_NAME_ROAD_UHL_COPPER_ORE_TRUCK                      :کامیون حمل سنگ مس Uhl
STR_VEHICLE_NAME_ROAD_GOSS_COPPER_ORE_TRUCK                     :کامیون حمل سنگ مس Goss
STR_VEHICLE_NAME_ROAD_UHL_WATER_TANKER                          :تانکر آب Uhl
STR_VEHICLE_NAME_ROAD_BALOGH_WATER_TANKER                       :تانکر آب Balogh
STR_VEHICLE_NAME_ROAD_MPS_WATER_TANKER                          :تانکر آب MPS
STR_VEHICLE_NAME_ROAD_BALOGH_FRUIT_TRUCK                        :کامیون حمل میوه Balogh
STR_VEHICLE_NAME_ROAD_UHL_FRUIT_TRUCK                           :کامیون حمل میوه Uhl
STR_VEHICLE_NAME_ROAD_KELLING_FRUIT_TRUCK                       :کامیون حمل میوه Kelling
STR_VEHICLE_NAME_ROAD_BALOGH_RUBBER_TRUCK                       :کامیون کائوچو Balogh
STR_VEHICLE_NAME_ROAD_UHL_RUBBER_TRUCK                          :کامیون کائوچو Uhl
STR_VEHICLE_NAME_ROAD_RMT_RUBBER_TRUCK                          :کامیون کائوچو RMT
STR_VEHICLE_NAME_ROAD_MIGHTYMOVER_SUGAR_TRUCK                   :کامیون حمل شکر MightyMover
STR_VEHICLE_NAME_ROAD_POWERNAUGHT_SUGAR_TRUCK                   :کامیون حمل شکر Powernaught
STR_VEHICLE_NAME_ROAD_WIZZOWOW_SUGAR_TRUCK                      :کامیون حمل شکر Wizzowow
STR_VEHICLE_NAME_ROAD_MIGHTYMOVER_COLA_TRUCK                    :کامیون حمل نوشابه MightyMover
STR_VEHICLE_NAME_ROAD_POWERNAUGHT_COLA_TRUCK                    :کامیون حمل نوشابه Powernaught
STR_VEHICLE_NAME_ROAD_WIZZOWOW_COLA_TRUCK                       :کامیون حمل نوشابه Wizzowow
STR_VEHICLE_NAME_ROAD_MIGHTYMOVER_COTTON_CANDY                  :کامیون حمل پشمک MightyMover
STR_VEHICLE_NAME_ROAD_POWERNAUGHT_COTTON_CANDY                  :کامیون حمل پشمک Powernaught
STR_VEHICLE_NAME_ROAD_WIZZOWOW_COTTON_CANDY_TRUCK               :کامیون حمل پشمک Candyfloss
STR_VEHICLE_NAME_ROAD_MIGHTYMOVER_TOFFEE_TRUCK                  :کامیون حمل تافی MightyMover
STR_VEHICLE_NAME_ROAD_POWERNAUGHT_TOFFEE_TRUCK                  :کامیون حمل تافی Powernaught
STR_VEHICLE_NAME_ROAD_WIZZOWOW_TOFFEE_TRUCK                     :کامیون حمل تافی Wizzowow
STR_VEHICLE_NAME_ROAD_MIGHTYMOVER_TOY_VAN                       :واگن حمل اسباب بازی MightyMover
STR_VEHICLE_NAME_ROAD_POWERNAUGHT_TOY_VAN                       :واگن حمل اسباب بازی Powernaught
STR_VEHICLE_NAME_ROAD_WIZZOWOW_TOY_VAN                          :واگن حمل اسباب بازی Wizzowow
STR_VEHICLE_NAME_ROAD_MIGHTYMOVER_BATTERY_TRUCK                 :کامیون حمل باتری MightyMover
STR_VEHICLE_NAME_ROAD_POWERNAUGHT_BATTERY_TRUCK                 :کامیون حمل باتری Powernaught
STR_VEHICLE_NAME_ROAD_WIZZOWOW_BATTERY_TRUCK                    :کامیون حمل باتری Wizzowow
STR_VEHICLE_NAME_ROAD_MIGHTYMOVER_FIZZY_DRINK                   :کامیون حمل نوشیدنی گازدار MightyMover
STR_VEHICLE_NAME_ROAD_POWERNAUGHT_FIZZY_DRINK                   :کامیون حمل نوشیدنی گازدار Powernaught
STR_VEHICLE_NAME_ROAD_WIZZOWOW_FIZZY_DRINK_TRUCK                :کامیون حمل نوشیدنی گازدار Wizzowow
STR_VEHICLE_NAME_ROAD_MIGHTYMOVER_PLASTIC_TRUCK                 :کامیون حمل پلاستیک MightyMover
STR_VEHICLE_NAME_ROAD_POWERNAUGHT_PLASTIC_TRUCK                 :کامیون حمل پلاستیک Powernaught
STR_VEHICLE_NAME_ROAD_WIZZOWOW_PLASTIC_TRUCK                    :کامین حمل پلاستیک Wizzowow
STR_VEHICLE_NAME_ROAD_MIGHTYMOVER_BUBBLE_TRUCK                  :کامیون حمل حباب MightyMover
STR_VEHICLE_NAME_ROAD_POWERNAUGHT_BUBBLE_TRUCK                  :کامیون حمل حباب Powernaught
STR_VEHICLE_NAME_ROAD_WIZZOWOW_BUBBLE_TRUCK                     :کامیون حمل حباب Wizzowow
STR_VEHICLE_NAME_SHIP_MPS_OIL_TANKER                            :تانکر نفت MPS
STR_VEHICLE_NAME_SHIP_CS_INC_OIL_TANKER                         :تانکر نفت CS-Inc.
STR_VEHICLE_NAME_SHIP_MPS_PASSENGER_FERRY                       :اتوبوس MPS
STR_VEHICLE_NAME_SHIP_FFP_PASSENGER_FERRY                       :اتوبوس FFP
STR_VEHICLE_NAME_SHIP_BAKEWELL_300_HOVERCRAFT                   :هاور کرفت Bakewell 300
STR_VEHICLE_NAME_SHIP_CHUGGER_CHUG_PASSENGER                    :اتوبوس Chugger-Chug
STR_VEHICLE_NAME_SHIP_SHIVERSHAKE_PASSENGER_FERRY               :اتوبوس Shivershake
STR_VEHICLE_NAME_SHIP_YATE_CARGO_SHIP                           :کشتی حمل بار Yate
STR_VEHICLE_NAME_SHIP_BAKEWELL_CARGO_SHIP                       :کشتی حمل بار Bakewell
STR_VEHICLE_NAME_SHIP_MIGHTYMOVER_CARGO_SHIP                    :کشتی حمل بار Mightymover
STR_VEHICLE_NAME_SHIP_POWERNAUT_CARGO_SHIP                      :کشتی حمل بار Powernaut
STR_VEHICLE_NAME_AIRCRAFT_SAMPSON_U52                           :Sampson U52
STR_VEHICLE_NAME_AIRCRAFT_COLEMAN_COUNT                         :Coleman Count
STR_VEHICLE_NAME_AIRCRAFT_FFP_DART                              :FFP Dart
STR_VEHICLE_NAME_AIRCRAFT_YATE_HAUGAN                           :Yate Haugan
STR_VEHICLE_NAME_AIRCRAFT_BAKEWELL_COTSWALD_LB_3                :Bakewell Cotswald LB-3
STR_VEHICLE_NAME_AIRCRAFT_BAKEWELL_LUCKETT_LB_8                 :Bakewell Luckett LB-8
STR_VEHICLE_NAME_AIRCRAFT_BAKEWELL_LUCKETT_LB_9                 :Bakewell Luckett LB-9
STR_VEHICLE_NAME_AIRCRAFT_BAKEWELL_LUCKETT_LB80                 :Bakewell Luckett LB80
STR_VEHICLE_NAME_AIRCRAFT_BAKEWELL_LUCKETT_LB_10                :Bakewell Luckett LB-10
STR_VEHICLE_NAME_AIRCRAFT_BAKEWELL_LUCKETT_LB_11                :Bakewell Luckett LB-11
STR_VEHICLE_NAME_AIRCRAFT_YATE_AEROSPACE_YAC_1_11               :Yate Aerospace YAC 1-11
STR_VEHICLE_NAME_AIRCRAFT_DARWIN_100                            :Darwin 100
STR_VEHICLE_NAME_AIRCRAFT_DARWIN_200                            :Darwin 200
STR_VEHICLE_NAME_AIRCRAFT_DARWIN_300                            :Darwin 300
STR_VEHICLE_NAME_AIRCRAFT_DARWIN_400                            :Darwin 400
STR_VEHICLE_NAME_AIRCRAFT_DARWIN_500                            :Darwin 500
STR_VEHICLE_NAME_AIRCRAFT_DARWIN_600                            :Darwin 600
STR_VEHICLE_NAME_AIRCRAFT_GURU_GALAXY                           :Guru Galaxy
STR_VEHICLE_NAME_AIRCRAFT_AIRTAXI_A21                           :Airtaxi A21
STR_VEHICLE_NAME_AIRCRAFT_AIRTAXI_A31                           :Airtaxi A31
STR_VEHICLE_NAME_AIRCRAFT_AIRTAXI_A32                           :Airtaxi A32
STR_VEHICLE_NAME_AIRCRAFT_AIRTAXI_A33                           :Airtaxi A33
STR_VEHICLE_NAME_AIRCRAFT_DINGER_100                            :Dinger 100
STR_VEHICLE_NAME_AIRCRAFT_AIRTAXI_A34_1000                      :AirTaxi A34-1000
STR_VEHICLE_NAME_AIRCRAFT_YATE_Z_SHUTTLE                        :Yate Z-Shuttle
STR_VEHICLE_NAME_AIRCRAFT_KELLING_K1                            :Kelling K1
STR_VEHICLE_NAME_AIRCRAFT_KELLING_K6                            :Kelling K6
STR_VEHICLE_NAME_AIRCRAFT_KELLING_K7                            :Kelling K7
STR_VEHICLE_NAME_AIRCRAFT_DARWIN_700                            :Darwin 700
STR_VEHICLE_NAME_AIRCRAFT_FFP_HYPERDART_2                       :FFP Hyperdart 2
STR_VEHICLE_NAME_AIRCRAFT_DINGER_200                            :Dinger 200
STR_VEHICLE_NAME_AIRCRAFT_DINGER_1000                           :Dinger 1000
STR_VEHICLE_NAME_AIRCRAFT_PLODDYPHUT_100                        :Ploddyphut 100
STR_VEHICLE_NAME_AIRCRAFT_PLODDYPHUT_500                        :Ploddyphut 500
STR_VEHICLE_NAME_AIRCRAFT_FLASHBANG_X1                          :Flashbang X1
STR_VEHICLE_NAME_AIRCRAFT_JUGGERPLANE_M1                        :Juggerplane M1
STR_VEHICLE_NAME_AIRCRAFT_FLASHBANG_WIZZER                      :Flashbang Wizzer
STR_VEHICLE_NAME_AIRCRAFT_TRICARIO_HELICOPTER                   :هلیکوپترTricario
STR_VEHICLE_NAME_AIRCRAFT_GURU_X2_HELICOPTER                    :هلیکوپترGuru X2
STR_VEHICLE_NAME_AIRCRAFT_POWERNAUT_HELICOPTER                  :هلیکوپترPowernaut
STR_ENGINE_PREVIEW_CAPTION                                      :{WHITE}پیغام از سازنده ی وسیله نقلیه
STR_ENGINE_PREVIEW_MESSAGE                                      :{GOLD}ما به تازگی {STRING} را طراحی کرده ایم- آیا مایلید در یک سال اولان را به شگل انحصاری مورد تست قرار دهید تا نحوه عملکرد وسیله را قبل از عرضه ی جهانی مورد بررسی قرار دهیم؟
STR_ENGINE_PREVIEW_RAILROAD_LOCOMOTIVE                          :لوکوموتیو راه آهن
STR_ENGINE_PREVIEW_ROAD_VEHICLE                                 :ماشین جاده ای
STR_ENGINE_PREVIEW_AIRCRAFT                                     :هواپیما
STR_ENGINE_PREVIEW_SHIP                                         :کشتی
STR_ENGINE_PREVIEW_MONORAIL_LOCOMOTIVE                          :لوکوموتیو مونوریل
STR_ENGINE_PREVIEW_MAGLEV_LOCOMOTIVE                            :لوکوموتیو ریل مغناطیسی

##id 0x8800
STR_NEWS_FIRST_TRAIN_ARRIVAL                                    :{BLACK}{BIGFONT}شهروندان ورود اولین قطار را به {STATION} تبریک گفتند!
STR_VEHICLE_DETAILS_CAPTION                                     :{WHITE}{VEHICLE} (جزئیات)
STR_ERROR_TRAIN_IN_THE_WAY                                      :{WHITE}قطار در راه است
STR_ORDER                                                       :{SETX 10}{COMMA}: {SETX 30}{STRING} {STRING}
STR_ORDER_SELECTED                                              :{RIGHTARROW}{SETX 10}{COMMA}: {SETX 30}{STRING} {STRING}







STR_VEHICLE_DETAILS_CARGO_EMPTY                                 :{LTBLUE}خالی
STR_VEHICLE_DETAILS_CARGO_FROM                                  :{LTBLUE}{CARGO} از {STATION}
STR_DEPOT_TRAIN_NEW_VEHICLES_BUTTON                             :{BLACK}وسیله ی جدید
STR_DEPOT_NO_ENGINE                                             :{BLACK}-
STR_ERROR_TRAIN_TOO_LONG                                        :{WHITE}قطار بسیار طولانی شده
STR_VEHICLE_LIST_CAPTION_TRAINS                                 :{WHITE}{COMPANY} - {COMMA} قطار{P "" s}

STR_BUILD_VEHICLE_TRAIN_RAIL_CAPTION                            :{WHITE}قطار جدید
STR_BUILD_VEHICLE_TRAIN_MONORAIL_CAPTION                        :{WHITE}قطار جدید مونوریل
STR_BUILD_VEHICLE_TRAIN_MAGLEV_CAPTION                          :{WHITE}قطار جدید ریل مغناطیسی
STR_BUILD_VEHICLE_TRAIN_ALL_CAPTION                             :{WHITE}وسایل ریل خط آهن

STR_BUILD_VEHICLE_TRAIN_BUILD_VEHICLE_BUTTON                    :{BLACK}ساخت وسیله نقلیه
STR_BUILD_VEHICLE_TRAIN_RENAME_BUTTON                           :{BLACK}تغییر نام
STR_ORDERS_SKIP_BUTTON                                          :{BLACK}رها کردن
STR_ORDERS_DELETE_BUTTON                                        :{BLACK}پاک کردن
STR_ORDERS_GO_TO_BUTTON                                         :{BLACK}برو به
STR_ORDERS_CAPTION                                              :{WHITE}{VEHICLE} (دستورات)
STR_ORDERS_END_OF_ORDERS                                        :{SETX 10}- - پایان دستورات - -
STR_ERROR_CAN_T_BUILD_RAILROAD_VEHICLE                          :{WHITE}نمیشود قطار  ساخت ...
STR_VEHICLE_DETAILS_TRAIN_ENGINE_BUILT_AND_VALUE                :{LTBLUE}{ENGINE}{BLACK}   مدل: {LTBLUE}{NUM}{BLACK} قیمت: {LTBLUE}{CURRENCY}
STR_VEHICLE_DETAILS_TRAIN_WAGON_VALUE                           :{LTBLUE}{ENGINE}{BLACK}  قیمت: {LTBLUE}{CURRENCY}
STR_VEHICLE_VIEW_CAPTION                                        :{WHITE}{VEHICLE}
STR_VEHICLE_STATUS_LOADING_UNLOADING                            :{LTBLUE}پر / خالی کردن
STR_ERROR_NO_MORE_SPACE_FOR_ORDERS                              :{WHITE}برای دستورات بیشتر جا نداریم
STR_ERROR_TOO_MANY_ORDERS                                       :{WHITE}دستورات بسیار زیاد شده اند
STR_ERROR_CAN_T_INSERT_NEW_ORDER                                :{WHITE}نمی شود دستور جدید قرار داد ...
STR_ERROR_CAN_T_DELETE_THIS_ORDER                               :{WHITE}نمی شود دستور را حذف کرد
STR_ERROR_CAN_T_MODIFY_THIS_ORDER                               :{WHITE}این دستور تغییر نمی کند...
STR_ERROR_CAN_T_MOVE_VEHICLE                                    :{WHITE} ...این وسیله را نمی توان حرکت داد
STR_CARGO_N_A                                                   :N/A{SKIP}
STR_ERROR_CAN_T_SELL_RAILROAD_VEHICLE                           :{WHITE}نمی شود قطار را فروخت...
STR_ERROR_UNABLE_TO_FIND_ROUTE_TO                               :{WHITE}مسیری به ایستگاه راه آهن پیدا نمیشود
STR_ERROR_CAN_T_STOP_START_TRAIN                                :{WHITE}قطار را نمی شود حرکت داد / متوقف کرد...
STR_VEHICLE_DETAILS_SERVICING_INTERVAL_DAYS                     :{BLACK}فاصله ی زمانی بین تعمیرات دوره ای: {LTBLUE}{COMMA}روز {BLACK}   آخیرین تعمسرات: {LTBLUE}{DATE_LONG}
STR_VEHICLE_LIST_TRAIN_LIST_TOOLTIP                             :{BLACK}قطارها-برای اطلاعات بیشتر روی قطار کلیک کنید
STR_DEPOT_TRAIN_LIST_TOOLTIP                                    :{BLACK}قطارها-برای اطلاعات بیشتر روی قطار کلیک کنید. وسیله را بکشید تا آن را از قطار خارج/وارد کنید
STR_DEPOT_TRAIN_NEW_VEHICLES_TOOLTIP                            :{BLACK}ساخت قطار جدید
STR_DEPOT_TRAIN_SELL_TOOLTIP                                    :{BLACK}قطار را برای فروش به اینجا بکشید
STR_DEPOT_TRAIN_LOCATION_TOOLTIP                                :{BLACK}نمای اصلی جایگاه ایستگاه قطار
STR_BUILD_VEHICLE_TRAIN_LIST_TOOLTIP                            :{BLACK}لیست انتخاب قطار - برای اطلاعات بیشتر روی وسیله کلیک کنید
STR_BUILD_VEHICLE_TRAIN_BUILD_VEHICLE_TOOLTIP                   :{BLACK}قطار مشخص شده را بخر
STR_BUILD_VEHICLE_TRAIN_RENAME_TOOLTIP                          :{BLACK}تغییر نام نوع قطار
STR_VEHICLE_VIEW_TRAIN_STATE_START_STOP_TOOLTIP                 :{BLACK}فعالیت فعلی قطار - برای توقف/شروع حرکت قطار اینجا کلیک کن
STR_VEHICLE_VIEW_TRAIN_ORDERS_TOOLTIP                           :{BLACK}نمایش دستورات قطار
STR_VEHICLE_VIEW_TRAIN_LOCATION_TOOLTIP                         :{BLACK}نمای اصلی جایگاه قطار
STR_VEHICLE_VIEW_TRAIN_SEND_TO_DEPOT_TOOLTIP                    :{BLACK}این قطار را به ایستگاه راه آهن بفرست. Ctrl+Click فقط قطار را سرویس میکند
STR_VEHICLE_VIEW_TRAIN_IGNORE_SIGNAL_TOOLTIP                    :{BLACK}قطار را مجبور کن بدون صبر برای علامت ترخیص شروع به حرکت کند
STR_VEHICLE_VIEW_TRAIN_REVERSE_TOOLTIP                          :{BLACK}برعکس کردن جهت حرکت قطار
STR_VEHICLE_VIEW_TRAIN_SHOW_DETAILS_TOOLTIP                     :{BLACK}نمایش مشخصات قطار
STR_VEHICLE_DETAILS_INCREASE_SERVICING_INTERVAL_TOOLTIP         :{BLACK}افزایش مدت سرویس
STR_VEHICLE_DETAILS_DECREASE_SERVICING_INTERVAL_TOOLTIP         :{BLACK}کاهش مدت سرویس
STR_VEHICLE_DETAILS_TRAIN_CARGO_TOOLTIP                         :{BLACK}نمایش مشخصات محموله در حال حمل
STR_VEHICLE_DETAILS_TRAIN_INFORMATION_TOOLTIP                   :{BLACK}نمایش مشخصات قطار
STR_VEHICLE_DETAILS_TRAIN_CAPACITIES_TOOLTIP                    :{BLACK}نمایش ظرفیت هر وسیله
STR_ORDERS_LIST_TOOLTIP                                         :{BLACK}لیست دستورات - برای مشخص کردن دستور روی آن کلیک کنید. Ctrl+click به ایستگاه میرود
STR_ORDERS_SKIP_TOOLTIP                                         :{BLACK}لغو دستور فعلی و شروع بعدی. Ctrl+Click دستور انتخاب شده را لغو می کند
STR_ORDERS_DELETE_TOOLTIP                                       :{BLACK}پاک کردن دستور مشخص شده
STR_ORDERS_GO_TO_TOOLTIP                                        :{BLACK}وارد کردن دستور جدید قبل از دستور مشخص شده. یا اضافه کردن آن به آخر لیست
STR_VEHICLE_STATUS_STOPPED                                      :{RED}متوقف شده
STR_ERROR_CAN_T_MAKE_TRAIN_PASS_SIGNAL                          :{WHITE}در هنگام خطر نمی توان علامت عبور قطار را داد
STR_VEHICLE_STATUS_CRASHED                                      :{RED}تصادف کرده!

STR_QUERY_RENAME_TRAIN_CAPTION                                  :{WHITE}نام گذاری قطار
STR_ERROR_CAN_T_RENAME_TRAIN                                    :{WHITE}نمیتوان برای قطار نام انتخاب کرد...
STR_VEHICLE_DETAILS_TRAIN_RENAME                                :{BLACK}نام گذاری قطار
STR_NEWS_TRAIN_CRASH                                            :{BLACK}{BIGFONT}تصادف قطار!{}{COMMA} مرگ در انفجار حاصل از برخورد
STR_ERROR_CAN_T_REVERSE_DIRECTION                               :{WHITE}جهت قطار را نمی شود تغییر داد...
STR_QUERY_RENAME_TRAIN_TYPE_CAPTION                             :{WHITE}تغییر نام انواع قطار ها
STR_ERROR_CAN_T_RENAME_TRAIN_TYPE                               :{WHITE}نمی شود انواع قطار ها را تغییر نام داد...





##id 0x9000
STR_ERROR_ROAD_VEHICLE_IN_THE_WAY                               :{WHITE}ماشین در جاده است
STR_VEHICLE_LIST_ROAD_CAPTION                                   :{WHITE}{COMPANY} - {COMMA} ماشین{P "" s}
STR_DEPOT_ROAD_NEW_VEHICLES_BUTTON                              :{BLACK}وسایل نقلیه ی جدید
STR_BUILD_VEHICLE_ROAD_CAPTION                                  :{WHITE}ماشین های جدید
STR_BUILD_VEHICLE_ROAD_BUILD_VEHICLE_BUTTON                     :{BLACK}ساخت وسیله نقلیه
STR_ERROR_CAN_T_BUILD_ROAD_VEHICLE                              :{WHITE}نمی شود ماشین ساخت...
STR_ERROR_CAN_T_SELL_ROAD_VEHICLE                               :{WHITE}نمیشود ماشین را فروخت...

STR_QUERY_RENAME_ROAD_CAPTION                                   :{BLACK}نام گذاری ماشین
STR_NEWS_FIRST_ROAD_BUS_ARRIVAL                                 :{BLACK}{BIGFONT}شهروندان ورود اولین اتوبوس را به . . .{}{STATION} تبریک گفتند!
STR_NEWS_FIRST_ROAD_TRUCK_ARRIVAL                               :{BLACK}{BIGFONT}شهروندان ورود اولین کامیون را به . . .{}{STATION} تبریک گفتند!
STR_NEWS_ROAD_CRASH_DRIVER                                      :{BLACK}{BIGFONT}تصادف ماشین!{}راننده پس از تصادف با قطار در آتش سوخت
STR_NEWS_ROAD_CRASH                                             :{BLACK}{BIGFONT}تصادف ماشین!{}راننده پس از تصادف با قطار{COMMA} در آتش سوخت
STR_ERROR_CAN_T_MAKE_VEHICLE_TURN                               :{WHITE}ماشین نمی تواند دور بزند...
STR_BUILD_VEHICLE_ROAD_RENAME_BUTTON                            :{BLACK}تغییر نام
STR_BUILD_VEHICLE_ROAD_RENAME_TOOLTIP                           :{BLACK}تغییر نام انواع ماشین ها
STR_QUERY_RENAME_ROAD_TYPE_CAPTION                              :{WHITE}تغییر نام انواع ماشین ها
STR_ERROR_CAN_T_RENAME_ROAD_TYPE                                :{WHITE}نمی شود انواع ماشین ها را تغییر نام داد...


##id 0x9800
STR_ERROR_CAN_T_SELL_SHIP                                       :{WHITE}کشتی فروخته نمی شود...
STR_ERROR_CAN_T_BUILD_SHIP                                      :{WHITE}نمی شود کشتی ساخت...
STR_ERROR_SHIP_IN_THE_WAY                                       :{WHITE}قطار در راه است
STR_ERROR_CAN_T_STOP_START_SHIP                                 :{WHITE}نمی شود کشتی را حرکت داد / متوقف کرد ...
STR_WATERWAYS_TOOLBAR_BUILD_DOCK_TOOLTIP                        :{BLACK}ساخت بندر
STR_DEPOT_SHIP_LIST_TOOLTIP                                     :{BLACK}کشی ها -برای اطلاعات بر روی کشتی کلیک کنید
STR_DEPOT_SHIP_NEW_VEHICLES_TOOLTIP                             :{BLACK}ساخت کشتی جدید
STR_DEPOT_SHIP_SELL_TOOLTIP                                     :{BLACK}کشتی را به اینجا بکشید تا فروخته شود
STR_DEPOT_SHIP_LOCATION_TOOLTIP                                 :{BLACK}نمای اصلی از جایگاه لنگرگاه کشتی
STR_VEHICLE_LIST_SHIP_TOOLTIP                                   :{BLACK}کشتی ها - برای اطلاعات بیشتر روی کشتی کلیک کنید
STR_BUILD_VEHICLE_SHIP_LIST_TOOLTIP                             :{BLACK}لیست انتخاب کشتی - برای اطلاعات بیشتر روی کشتی کلیک کنید
STR_BUILD_VEHICLE_SHIP_BUILD_VEHICLE_TOOLTIP                    :{BLACK}کشتی مشخص شده را بساز
STR_VEHICLE_VIEW_SHIP_STATE_START_STOP_TOOLTIP                  :{BLACK}عمل فعلی کشتی - برای شروع/توقف کشتی اینجا کلیک کنید
STR_VEHICLE_VIEW_SHIP_ORDERS_TOOLTIP                            :{BLACK}نمایش وظایف کشتی
STR_VEHICLE_VIEW_SHIP_LOCATION_TOOLTIP                          :{BLACK}نمای اصلی از جایگاه کشتی
STR_VEHICLE_VIEW_SHIP_SEND_TO_DEPOT_TOOLTIP                     :{BLACK}فرستادن کشتی به لنگرگاه. ctrl+click فقط سرویس میکند
STR_VEHICLE_VIEW_SHIP_SHOW_DETAILS_TOOLTIP                      :{BLACK}نمایش مشخصات کشتی
STR_VEHICLE_DETAILS_SHIP_RENAME                                 :{BLACK}نام گذاری کشتی

STR_QUERY_RENAME_SHIP_CAPTION                                   :{WHITE}نام گذاری کشتی
STR_ERROR_CAN_T_RENAME_SHIP                                     :{WHITE}نمیتوان برای این کشتی نام انتخاب کرد
STR_NEWS_FIRST_SHIP_ARRIVAL                                     :{BLACK}{BIGFONT}جشن گرفتن شهروندان. . . {} اولین کشتی به {STATION} رسید!
STR_WATERWAYS_TOOLBAR_BUOY_TOOLTIP                              :{BLACK}یک شناور به عنوان نمایانگر راه قرار بده
STR_ERROR_CAN_T_POSITION_BUOY_HERE                              :{WHITE}نمیتوان اینجا شناوری قرار داد
STR_BUILD_VEHICLE_SHIP_RENAME_BUTTON                            :{BLACK}نام گذاری مجدد
STR_BUILD_VEHICLE_SHIP_RENAME_TOOLTIP                           :{BLACK}نام گذاری مجدد نوع کشتی
STR_QUERY_RENAME_SHIP_TYPE_CAPTION                              :{WHITE}نام گذاری مجدد نوع کشتی
STR_ERROR_CAN_T_RENAME_SHIP_TYPE                                :{WHITE}نمی توان نام جدید را انتخاب کرد
